id_responden,usia,jenis_kelamin,durasi_penggunaan,frekuensi_login,kualitas_materi,kemudahan_penggunaan,stabilitas_aplikasi,interaksi_pengajar,kepuasan_pengguna
R0075,28,P,5.1,7,3.0,5,1.0,3,1
R0076,21,P,0.6,1,3.0,5,3.0,3,1
R0077,19,P,,2,,2,,4,0
R0078,19,L,1.1,5,4.0,3,2.0,4,1
R0079,33,P,3.3,1,1.0,1,3.0,1,0
R0080,19,L,2.1,7,4.0,5,5.0,4,1
R0081,19,P,1.7,1,4.0,2,2.0,5,0
R0082,29,P,5.4,3,4.0,1,1.0,5,0
R0083,29,L,3.7,6,3.0,2,1.0,3,0
R0084,31,L,3.1,4,3.0,1,3.0,2,0
R0085,23,P,,2,,1,,2,0
R0086,22,L,3.4,1,5.0,1,4.0,2,0
R0087,27,P,0.7,2,2.0,2,1.0,4,0
R0088,29,L,1.0,7,5.0,4,2.0,3,1
R0089,21,L,1.1,3,3.0,1,5.0,5,1
R0090,24,P,5.1,2,4.0,4,2.0,3,1
R0091,32,P,5.0,6,3.0,5,4.0,3,1
R0092,19,L,2.6,1,5.0,5,1.0,5,1
R0093,27,L,3.1,7,4.0,4,5.0,5,1
R0094,19,L,3.8,6,4.0,3,5.0,1,1
R0095,34,P,2.2,1,3.0,2,3.0,4,0
R0096,29,P,1.7,3,2.0,5,4.0,1,0
R0097,31,L,5.7,3,2.0,2,3.0,3,0
R0098,21,L,6.0,5,1.0,1,2.0,1,0
R0099,28,L,4.3,2,4.0,5,3.0,2,1
R0100,27,L,0.8,7,3.0,3,1.0,3,0
R0101,22,L,4.6,3,4.0,4,1.0,4,1
R0102,34,L,,3,,4,,4,1
R0103,20,P,4.2,5,3.0,2,5.0,1,0
R0104,27,P,4.3,2,4.0,2,2.0,3,0
R0105,18,P,,6,,4,,5,1
R0106,32,L,2.8,2,3.0,2,5.0,3,0
R0107,19,P,2.8,5,4.0,4,4.0,3,1
R0108,32,P,3.2,1,4.0,2,2.0,4,0
R0109,19,L,1.4,1,1.0,2,3.0,2,0
R0110,22,L,1.8,5,3.0,2,3.0,4,0
R0111,18,L,2.7,4,3.0,2,3.0,4,0
R0112,21,P,0.3,3,4.0,1,2.0,5,0
R0113,25,L,0.7,3,2.0,4,4.0,4,1
R0114,18,P,4.2,2,4.0,2,4.0,3,1
R0115,21,P,3.7,2,4.0,4,4.0,1,1
R0116,30,L,1.5,2,4.0,4,2.0,3,1
R0117,28,P,3.9,5,1.0,5,5.0,1,1
R0118,29,P,3.3,4,1.0,5,3.0,1,0
R0119,25,P,3.5,1,5.0,4,3.0,4,1
R0120,23,L,0.5,2,4.0,4,5.0,3,1
R0121,30,L,5.3,7,3.0,5,3.0,4,1
R0122,30,L,6.0,6,2.0,1,4.0,5,0
R0123,21,L,2.7,2,3.0,3,2.0,4,0
R0124,20,L,5.5,6,5.0,4,3.0,4,1
R0125,34,P,,6,,3,,3,1
R0126,33,P,2.2,4,5.0,3,1.0,3,1
R0127,32,L,4.3,4,2.0,5,2.0,4,1
R0128,24,P,2.6,5,2.0,2,3.0,3,0
R0129,21,L,0.3,3,1.0,4,4.0,1,0
R0130,30,P,0.7,4,4.0,5,5.0,1,1
R0131,23,L,5.6,1,1.0,1,3.0,3,0
R0132,30,P,5.9,7,4.0,5,3.0,4,1
R0133,19,L,4.7,4,3.0,2,2.0,2,0
R0134,23,P,2.7,1,3.0,2,1.0,4,0
R0135,28,P,3.5,2,4.0,3,4.0,3,1
R0136,32,P,3.5,5,5.0,5,5.0,2,1
R0137,28,L,4.3,5,4.0,5,5.0,4,1
R0138,22,L,2.5,4,3.0,5,3.0,4,1
R0139,21,L,5.8,1,4.0,3,2.0,3,0
R0140,23,P,3.4,2,1.0,4,5.0,1,0
R0141,29,P,5.0,3,4.0,4,1.0,1,0
R0142,21,P,0.5,6,5.0,3,4.0,3,1
R0143,20,P,3.6,7,5.0,5,5.0,5,1
R0144,25,L,5.2,1,3.0,1,4.0,4,0
R0145,29,P,5.7,7,2.0,3,2.0,3,0
R0146,18,L,5.4,6,5.0,2,1.0,4,1
R0147,23,L,2.9,7,2.0,3,5.0,3,1
R0148,22,P,5.3,3,4.0,4,2.0,1,0
R0149,29,L,1.1,4,3.0,1,1.0,1,0
R0150,19,P,2.3,5,4.0,3,3.0,1,1
R0151,34,L,4.3,3,3.0,4,1.0,3,0
R0152,31,P,1.9,6,1.0,5,5.0,3,1
R0153,31,L,5.7,3,4.0,1,3.0,3,0
R0154,33,L,3.5,6,5.0,4,5.0,4,1
R0155,28,P,5.3,5,3.0,3,4.0,1,0
R0156,20,L,,3,,5,,2,0
R0157,33,P,1.7,6,3.0,3,5.0,4,1
R0158,29,L,5.7,1,1.0,2,3.0,1,0
R0159,31,P,0.9,4,4.0,2,4.0,5,1
R0160,34,P,0.4,2,1.0,2,5.0,1,0
R0161,32,P,3.1,2,2.0,3,3.0,5,0
R0162,25,P,2.0,4,5.0,4,4.0,5,1
R0163,33,L,0.7,7,3.0,2,2.0,5,1
R0164,19,L,5.3,4,5.0,5,3.0,3,1
R0165,31,P,5.6,6,5.0,4,4.0,1,1
R0166,27,L,5.0,5,4.0,3,1.0,1,0
R0167,28,L,3.5,1,3.0,1,5.0,4,0
R0168,25,P,0.5,3,3.0,5,4.0,3,1
R0169,18,P,3.1,3,2.0,4,2.0,1,0
R0170,19,P,5.4,7,1.0,1,5.0,1,0
R0171,23,P,2.4,4,3.0,1,3.0,2,0
R0172,28,P,4.6,3,3.0,5,4.0,3,1
R0173,27,L,4.4,6,3.0,3,5.0,1,1
R0174,29,L,4.0,7,1.0,1,2.0,4,0
R0175,33,L,1.8,4,1.0,5,2.0,4,0
R0176,31,L,3.3,4,2.0,2,2.0,2,0
R0177,21,L,3.6,5,2.0,2,3.0,1,0
R0178,30,P,5.3,4,4.0,2,5.0,1,1
R0179,29,P,2.0,4,5.0,4,2.0,3,1
R0180,25,P,4.4,5,2.0,4,5.0,5,1
R0181,27,L,0.9,7,3.0,4,2.0,5,1
R0182,18,L,2.9,5,4.0,3,5.0,2,1
R0183,21,L,4.5,3,2.0,4,5.0,3,1
R0184,21,P,3.9,5,5.0,2,2.0,3,1
R0185,27,P,2.3,6,5.0,1,1.0,1,0
R0186,32,L,2.4,6,4.0,1,1.0,1,0
R0187,23,P,1.3,5,4.0,2,3.0,4,1
R0188,20,L,5.8,7,5.0,5,4.0,1,1
R0189,19,P,5.4,6,3.0,4,3.0,4,1
R0190,29,P,4.6,7,4.0,5,5.0,4,1
R0191,29,P,4.5,3,2.0,5,1.0,1,0
R0192,33,P,5.0,3,4.0,1,5.0,1,0
R0193,24,L,1.0,1,4.0,5,2.0,1,0
R0194,19,L,0.7,7,3.0,2,5.0,5,1
R0195,20,L,,4,,5,,2,1
R0196,29,L,4.9,7,1.0,5,1.0,3,0
R0197,23,P,0.6,3,5.0,3,2.0,1,0
R0198,19,P,5.4,6,1.0,1,1.0,5,0
R0199,31,P,4.7,4,4.0,2,1.0,1,0
R0200,25,P,0.3,6,5.0,3,5.0,3,1
R0201,20,L,5.1,1,5.0,4,2.0,4,1
R0202,25,L,5.8,1,1.0,5,3.0,5,0
R0203,31,P,4.0,7,2.0,3,2.0,2,0
R0204,31,P,1.9,7,3.0,1,3.0,4,0
R0205,21,L,4.1,3,3.0,3,4.0,5,1
R0206,28,P,2.8,3,3.0,5,4.0,5,1
R0207,26,L,4.8,1,2.0,2,2.0,1,0
R0208,18,P,3.8,4,5.0,4,3.0,2,1
R0209,33,L,3.5,5,1.0,5,3.0,1,0
R0210,23,P,2.7,3,3.0,4,5.0,3,1
R0211,21,L,5.2,4,1.0,1,5.0,4,0
R0212,27,P,,2,,2,,1,0
R0213,33,L,5.1,1,3.0,1,3.0,3,0
R0214,30,L,0.8,1,1.0,4,2.0,3,0
R0215,24,L,4.8,3,2.0,1,5.0,5,0
R0216,19,L,1.8,6,5.0,1,2.0,1,0
R0217,25,P,4.6,2,4.0,3,5.0,1,1
R0218,24,L,3.5,6,1.0,5,2.0,2,0
R0219,32,L,1.7,7,1.0,1,4.0,1,0
R0220,19,P,1.3,2,5.0,4,4.0,2,1
R0221,30,P,1.4,5,4.0,3,4.0,4,1
R0222,24,P,5.5,4,3.0,3,3.0,3,0
R0223,25,L,0.9,5,5.0,3,1.0,2,1
R0224,30,P,5.6,5,5.0,5,1.0,3,1
R0225,27,P,5.3,4,2.0,1,2.0,3,0
R0226,30,P,4.0,3,3.0,5,4.0,1,1
R0227,33,P,5.4,6,4.0,5,4.0,2,1
R0228,20,P,4.4,5,5.0,5,5.0,4,1
R0229,30,L,5.9,4,1.0,3,4.0,1,0
R0230,23,P,4.2,1,3.0,3,2.0,2,0
R0231,23,L,4.1,7,4.0,3,3.0,3,1
R0232,34,L,1.6,1,3.0,4,5.0,4,1
R0233,19,L,5.6,4,3.0,5,3.0,2,1
R0234,18,P,2.3,2,4.0,5,1.0,2,1
R0235,33,P,1.5,5,1.0,2,5.0,5,0
R0236,20,P,5.9,2,5.0,2,2.0,4,1
R0237,30,L,5.3,4,5.0,1,3.0,1,0
R0238,21,P,2.1,1,4.0,2,1.0,4,0
R0239,21,L,5.4,1,4.0,3,2.0,4,0
R0240,22,L,3.8,7,3.0,2,3.0,3,1
R0241,28,P,5.1,6,2.0,4,2.0,1,0
R0242,23,P,4.0,4,2.0,5,5.0,1,1
R0243,31,P,5.5,6,2.0,1,1.0,1,0
R0244,20,L,3.9,3,2.0,3,4.0,5,1
R0245,24,L,1.2,6,2.0,1,2.0,4,0
R0246,34,L,3.3,4,4.0,2,1.0,1,0
R0247,27,P,3.6,7,5.0,1,5.0,3,1
R0248,30,P,3.7,7,1.0,3,3.0,5,0
R0249,22,P,4.7,1,2.0,4,1.0,1,0
R0250,25,P,1.8,4,2.0,5,1.0,1,0
R0251,28,P,4.0,6,4.0,2,2.0,1,0
R0252,32,L,4.4,6,3.0,1,5.0,1,0
R0253,34,P,1.6,4,2.0,3,4.0,5,1
R0254,31,P,0.5,1,1.0,2,5.0,3,0
R0255,33,P,4.0,4,1.0,3,2.0,5,0
R0256,22,L,3.0,2,5.0,2,3.0,2,0
R0257,25,L,3.9,3,2.0,4,5.0,1,0
R0258,34,P,5.8,2,5.0,5,4.0,3,1
R0259,25,P,0.6,2,5.0,4,2.0,4,1
R0260,30,P,1.9,5,2.0,3,4.0,2,0
R0261,25,P,2.3,4,5.0,4,3.0,4,1
R0262,21,L,3.8,5,2.0,2,4.0,3,0
R0263,34,P,5.9,3,5.0,5,4.0,1,1
R0264,29,P,2.1,2,2.0,3,2.0,1,0
R0265,27,P,1.9,5,3.0,3,3.0,3,1
R0266,28,L,4.8,5,3.0,4,5.0,3,1
R0267,19,L,1.3,2,5.0,1,2.0,3,0
R0268,27,P,4.7,7,5.0,5,5.0,2,1
R0269,24,P,4.8,5,4.0,4,4.0,1,1
R0270,28,P,2.8,1,1.0,2,1.0,5,0
R0271,18,L,3.7,3,2.0,3,1.0,1,0
R0272,25,P,3.7,4,4.0,4,4.0,1,1
R0273,18,P,3.3,6,2.0,2,1.0,2,0
R0274,26,P,0.8,1,3.0,4,1.0,4,0
R0275,22,P,4.5,4,1.0,5,5.0,4,1
R0276,28,P,3.9,3,2.0,1,4.0,4,0
R0277,30,P,0.3,4,5.0,4,4.0,2,1
R0278,29,P,5.2,7,3.0,3,2.0,5,1
R0279,32,L,5.3,4,5.0,4,1.0,2,1
R0280,23,L,4.5,3,2.0,2,5.0,5,1
R0281,24,L,,5,,1,,2,0
R0282,21,P,5.0,6,3.0,4,3.0,4,1
R0283,32,L,2.6,6,1.0,5,2.0,1,0
R0284,25,P,4.8,5,5.0,3,2.0,1,1
R0285,27,P,5.6,2,5.0,4,2.0,4,1
R0286,33,P,4.3,3,1.0,4,1.0,4,0
R0287,25,L,5.4,1,4.0,3,5.0,3,1
R0288,33,L,3.1,4,2.0,5,5.0,1,1
R0289,28,L,1.8,5,2.0,1,5.0,5,0
R0290,26,L,1.2,1,5.0,4,5.0,1,1
R0291,23,L,0.6,7,5.0,5,5.0,1,1
R0292,26,P,5.6,7,3.0,1,1.0,5,0
R0293,32,P,5.4,2,1.0,3,4.0,4,0
R0294,18,P,5.0,4,5.0,4,2.0,1,1
R0295,21,P,2.6,1,3.0,2,5.0,5,1
R0296,25,L,5.2,6,5.0,5,5.0,4,1
R0297,30,L,3.7,6,3.0,5,1.0,3,1
R0298,30,L,1.5,7,5.0,1,3.0,4,1
R0299,34,L,0.6,7,5.0,3,2.0,5,1
R0300,18,P,0.4,7,2.0,4,5.0,2,1
R0301,18,P,3.3,6,3.0,1,4.0,2,0
R0302,19,L,3.8,4,5.0,5,4.0,3,1
R0303,33,L,3.2,4,4.0,3,2.0,2,0
R0304,20,L,2.9,2,4.0,2,2.0,2,0
R0305,32,L,0.3,7,5.0,4,5.0,1,1
R0306,33,L,1.6,4,5.0,4,4.0,1,1
R0307,19,L,5.1,1,2.0,4,1.0,4,0
R0308,29,L,5.4,3,1.0,3,1.0,4,0
R0309,21,P,0.4,3,2.0,1,2.0,5,0
R0310,33,L,3.1,2,2.0,4,1.0,4,0
R0311,18,P,4.9,4,4.0,1,3.0,1,0
R0312,18,P,0.3,5,4.0,3,2.0,1,0
R0313,24,L,2.9,4,4.0,4,1.0,3,1
R0314,22,L,1.4,2,1.0,5,5.0,1,0
R0315,29,L,3.5,5,2.0,1,5.0,4,0
R0316,23,P,5.9,2,4.0,5,5.0,2,1
R0317,23,P,,2,,2,,5,1
R0318,18,P,0.9,1,1.0,1,5.0,3,0
R0319,24,P,3.3,7,1.0,4,1.0,1,0
R0320,33,L,2.5,4,4.0,1,3.0,5,1
R0321,31,L,5.3,5,5.0,4,3.0,3,1
R0322,23,P,1.5,1,5.0,1,1.0,3,0
R0323,32,P,3.2,5,5.0,1,3.0,2,1
R0324,27,L,4.8,6,3.0,5,2.0,3,1
R0325,33,L,3.1,7,5.0,2,5.0,2,1
R0326,20,L,0.5,4,5.0,1,5.0,5,1
R0327,33,L,0.4,1,4.0,4,1.0,1,0
R0328,29,L,5.6,2,4.0,2,1.0,3,0
R0329,27,L,2.2,6,2.0,5,3.0,1,1
R0330,27,L,4.0,6,2.0,3,1.0,4,0
R0331,31,P,5.5,7,2.0,2,3.0,4,0
R0332,23,P,4.3,4,5.0,5,4.0,1,1
R0333,28,P,3.5,4,4.0,2,3.0,4,1
R0334,33,P,1.0,7,1.0,4,3.0,5,1
R0335,27,P,,5,,4,,1,0
R0336,20,L,5.0,7,2.0,1,2.0,3,0
R0337,22,L,2.2,7,1.0,3,1.0,4,0
R0338,26,P,1.2,7,3.0,1,2.0,3,0
R0339,21,L,1.7,3,4.0,4,1.0,5,1
R0340,33,L,5.2,6,5.0,1,3.0,2,1
R0341,34,L,2.0,7,4.0,2,1.0,1,0
R0342,30,P,4.0,3,4.0,2,3.0,4,1
R0343,27,P,5.7,4,5.0,5,1.0,1,1
R0344,23,P,4.7,1,5.0,5,5.0,1,1
R0345,32,P,2.6,4,4.0,1,1.0,2,0
R0346,27,L,3.5,4,1.0,2,2.0,4,0
R0347,30,L,3.0,3,5.0,1,3.0,4,1
R0348,28,L,3.4,7,4.0,4,1.0,1,1
R0349,20,P,2.4,6,3.0,5,1.0,1,0
R0350,22,P,1.6,3,1.0,5,1.0,2,0
R0351,20,P,3.1,1,3.0,3,3.0,2,0
R0352,24,P,3.8,7,2.0,3,3.0,5,1
R0353,25,L,5.6,7,3.0,5,4.0,4,1
R0354,21,P,2.8,1,4.0,2,5.0,4,1
R0355,26,L,1.5,3,4.0,5,4.0,1,1
R0356,31,L,4.9,7,1.0,2,1.0,1,0
R0357,34,P,,3,,5,,5,1
R0358,23,P,4.7,3,1.0,3,4.0,2,0
R0359,29,L,2.2,3,4.0,1,3.0,1,0
R0360,33,P,1.7,3,1.0,4,3.0,5,0
R0361,29,P,0.5,5,3.0,5,2.0,5,1
R0362,32,P,,5,,1,,1,0
R0363,25,L,5.8,7,4.0,1,5.0,4,1
R0364,24,L,1.4,4,3.0,2,4.0,2,0
R0365,34,P,1.1,1,5.0,5,5.0,4,1
R0366,23,P,0.5,7,2.0,4,3.0,1,0
R0367,25,P,4.7,2,5.0,4,3.0,5,1
R0368,23,L,4.3,2,4.0,4,1.0,3,0
R0369,32,P,2.3,2,2.0,4,5.0,1,0
R0370,19,P,2.1,7,1.0,4,5.0,4,1
R0371,23,L,2.7,7,1.0,5,1.0,3,0
R0372,20,P,,5,,3,,5,0
R0373,20,P,2.8,4,5.0,1,4.0,1,0
R0374,30,L,2.7,5,4.0,1,5.0,2,1
R0375,26,L,,7,,4,,5,1
R0376,22,P,5.7,3,5.0,3,4.0,1,1
R0377,27,P,2.0,2,4.0,5,2.0,5,1
R0378,19,P,,6,,3,,1,0
R0379,33,L,2.7,6,1.0,3,2.0,5,0
R0380,27,L,2.1,4,2.0,5,4.0,2,1
R0381,30,P,4.3,1,2.0,5,5.0,1,0
R0382,26,L,2.9,6,3.0,5,2.0,4,1
R0383,26,P,0.7,3,5.0,5,4.0,2,1
R0384,27,L,5.5,6,1.0,1,4.0,2,0
R0385,27,P,3.3,3,4.0,5,2.0,5,1
R0386,23,L,4.8,6,3.0,3,3.0,2,1
R0387,24,L,2.4,7,4.0,5,5.0,1,1
R0388,22,P,5.9,1,5.0,1,4.0,3,0
R0389,23,P,,1,,1,,3,0
R0390,19,P,3.9,7,2.0,5,1.0,5,1
R0391,19,P,5.5,1,4.0,4,5.0,5,1
R0392,27,L,3.9,1,3.0,1,4.0,2,0
R0393,27,P,5.9,1,1.0,3,1.0,1,0
R0394,28,P,3.4,2,2.0,5,2.0,5,1
R0395,28,L,,3,,4,,5,1
R0396,34,P,2.5,5,1.0,3,4.0,5,0
R0397,29,L,2.6,4,1.0,3,3.0,5,0
R0398,23,P,4.2,1,2.0,3,4.0,5,0
R0399,29,L,3.5,2,3.0,3,3.0,2,0
R0400,22,P,1.4,4,5.0,5,1.0,4,1
R0401,19,P,3.3,2,3.0,4,1.0,2,0
R0402,26,P,3.8,4,3.0,2,1.0,5,0
R0403,30,L,2.7,6,2.0,4,1.0,5,1
R0404,21,L,2.9,3,4.0,1,2.0,4,0
R0405,33,P,2.1,3,4.0,1,1.0,3,0
R0406,32,P,3.2,1,5.0,5,3.0,2,1
R0407,21,L,,5,,3,,2,1
R0408,22,P,1.9,1,2.0,4,2.0,1,0
R0409,30,L,,5,,2,,5,0
R0410,28,P,0.5,5,3.0,5,2.0,3,1
R0411,30,L,5.8,2,5.0,1,3.0,2,0
R0412,27,L,1.2,6,4.0,3,5.0,5,1
R0413,23,P,4.5,6,3.0,4,2.0,2,1
R0414,21,L,2.6,2,3.0,5,5.0,5,1
R0415,33,L,2.3,2,4.0,4,3.0,5,1
R0416,29,P,2.8,3,2.0,2,2.0,4,0
R0417,18,L,5.6,2,2.0,1,5.0,4,0
R0418,29,P,5.7,6,2.0,2,5.0,5,1
R0419,19,P,5.5,3,2.0,2,3.0,1,0
R0420,21,L,0.7,7,2.0,5,4.0,2,1
R0421,31,L,4.9,5,1.0,2,1.0,3,0
R0422,27,L,1.5,4,3.0,2,1.0,2,0
R0423,28,P,4.0,6,5.0,4,3.0,5,1
R0424,33,L,5.4,6,3.0,4,4.0,5,1
R0425,28,L,0.4,7,3.0,1,5.0,3,1
R0426,26,P,2.7,7,3.0,4,5.0,5,1
R0427,29,P,0.7,3,3.0,1,3.0,5,0
R0428,25,P,3.9,5,2.0,3,1.0,4,0
R0429,18,L,1.5,5,1.0,2,5.0,1,0
R0430,20,P,4.2,3,5.0,3,3.0,3,1
R0431,34,L,3.7,7,1.0,4,5.0,4,1
R0432,29,L,2.0,1,3.0,5,2.0,5,1
R0433,27,L,3.0,6,5.0,2,3.0,4,1
R0434,24,L,4.2,6,5.0,2,3.0,5,1
R0435,29,L,1.7,1,4.0,4,4.0,1,1
R0436,30,L,1.8,4,4.0,4,2.0,4,1
R0437,31,L,4.0,6,4.0,1,2.0,2,0
R0438,23,P,1.3,3,5.0,3,2.0,4,1
R0439,26,P,4.3,1,1.0,4,5.0,1,0
R0440,32,L,2.8,6,5.0,2,2.0,5,1
R0441,21,P,1.2,1,2.0,1,2.0,5,0
R0442,29,L,3.6,2,1.0,1,1.0,1,0
R0443,19,L,4.5,7,5.0,5,4.0,1,1
R0444,34,P,1.6,4,2.0,3,5.0,2,0
R0445,31,L,2.8,5,4.0,2,1.0,2,0
R0446,31,L,1.5,7,3.0,3,2.0,4,1
R0447,18,P,1.8,4,3.0,2,1.0,1,0
R0448,26,P,4.4,7,1.0,2,5.0,1,0
R0449,34,L,1.9,6,3.0,4,5.0,5,1
R0450,20,P,5.6,7,4.0,5,5.0,5,1
R0451,34,P,,4,,4,,3,1
R0452,22,L,1.7,6,4.0,4,1.0,3,1
R0453,26,L,3.8,2,1.0,4,1.0,5,0
R0454,24,L,4.5,6,5.0,4,5.0,1,1
R0455,21,P,5.1,5,1.0,5,4.0,3,1
R0456,25,P,0.9,3,5.0,4,1.0,2,1
R0457,31,P,0.8,2,1.0,1,3.0,2,0
R0458,30,L,1.6,5,2.0,5,3.0,4,1
R0459,18,L,1.4,4,4.0,4,4.0,1,1
R0460,31,L,3.1,2,5.0,2,4.0,4,1
R0461,23,L,5.3,1,2.0,1,3.0,3,0
R0462,24,P,,6,,5,,5,1
R0463,20,P,4.8,6,5.0,3,2.0,4,1
R0464,32,P,5.6,4,5.0,5,4.0,5,1
R0465,20,L,4.2,5,3.0,1,1.0,3,0
R0466,30,L,5.7,1,4.0,1,1.0,3,0
R0467,31,L,2.0,7,1.0,3,5.0,2,0
R0468,34,P,2.8,7,4.0,2,2.0,2,0
R0469,21,P,5.4,1,2.0,2,2.0,3,0
R0470,33,P,6.0,5,5.0,1,2.0,3,0
R0471,33,P,0.4,5,3.0,2,2.0,5,0
R0472,33,P,4.5,6,3.0,2,2.0,2,0
R0473,34,P,0.3,6,1.0,5,2.0,3,0
R0474,30,L,3.0,5,5.0,1,3.0,3,1
R0475,26,L,3.2,5,3.0,5,4.0,3,1
R0476,19,P,5.2,7,5.0,1,5.0,1,1
R0477,25,L,4.6,1,5.0,2,4.0,4,1
R0478,24,P,0.8,1,1.0,4,5.0,1,0
R0479,31,L,1.4,2,2.0,2,2.0,5,0
R0480,20,P,4.2,4,1.0,4,3.0,3,0
R0481,26,L,4.7,3,4.0,4,5.0,2,1
R0482,19,L,3.0,1,2.0,1,1.0,2,0
R0483,27,L,5.6,4,3.0,1,1.0,5,0
R0484,18,L,5.8,5,2.0,2,1.0,3,0
R0485,29,L,1.8,7,1.0,5,5.0,1,1
R0486,18,L,2.8,3,2.0,1,2.0,4,0
R0487,28,P,4.4,6,2.0,5,2.0,3,1
R0488,22,L,4.0,6,3.0,4,2.0,3,1
R0489,30,P,2.6,1,5.0,5,4.0,1,1
R0490,26,L,3.5,6,2.0,3,2.0,2,0
R0491,32,L,,2,,4,,4,0
R0492,31,P,,4,,5,,4,1
R0493,27,P,2.0,2,5.0,4,2.0,2,1
R0494,34,P,4.8,1,3.0,2,2.0,1,0
R0495,31,P,2.9,6,5.0,2,5.0,4,1
R0496,18,L,,3,,1,,4,0
R0497,24,P,2.3,6,3.0,2,2.0,5,1
R0498,18,P,,4,,5,,3,1
R0499,28,L,3.5,4,2.0,5,5.0,1,1
R0500,28,L,4.3,6,5.0,4,1.0,1,1

